text,date,dateval,time,timeval,people,peopleval,org,orgval,predict
First we visited Prambanan Temple. Prambanan temple was a beautiful temple. We took some photos there. After that we went to Gembira Loka zoo. We saw many kinds of animals there such as tiger snakes collection butterfly collections etc. We looked around in that Zoo and also took pictures of those animals. After from gembira loka zoo  we went to Sahid raya hotel to take a rest. Sahid raya was a famous hotel in jogjakarta the facilities made me comfortable during i stayed there.  In the next day we went to Siung beach. Siung beach was very beautiful. I played the white sands I swam there and i saw some people practiced rock climbing there. Siung beach was in Gunung Kidul about 2 hours from the center of Jogjakarta. I played for some hours until i felt tired and decided to go back to our car. After that we went to malioboro to buy some souvenirs. Malioboro was about 30 minutes from Sahid Raya hotel. Malioboro is a busy street there were many sellers who sold many kinds of souvenirs. Then we felt hungry so we went to a Chinese restaurant. After we finished our dinner we decided to go home.,,0,,0,yellow,1,,0,1
,,0,,0,yellow,1,,0,0
That guy jumped off the roof and came at Renji.It’s an orc. Of course it’s an orc. Its hair is white. It’s got a luster to it so it could look silver too. Coincidentally Renji’s hair is silver too.Is there a rule saying silver-haired guys have to be insane? Because that orc is clearly insane too. Its body is big and on top of wearing black armor it’s got this cape with a tiger stripe pattern that’s actually probably real tiger fur which is insanely flashy. Those tattoos all over its face are insane. The look in its eyes is insane. Its yellow eyes look so wild it’s insane. Despite that its expression is calm and it looks pretty smart which is insane.And then there’s the sword. The one-edged sword that orc has is purpleish long thick and sharp-looking with a jagged back side that looks insane.,,0,,0,yellow,1,,0,1
Philadelphia goes all out for the holidays every year and many of the grand festivities are centered around City Hall. For the first time ever a 65-foot ’ Ferris wheel delights guests at the brand-new Wawa Holiday Plaza which is situated at the North Apron of City Hall. The plaza also features the Visit Philly Holiday Tree and the Christmas Village Holiday Train for the little ones. The whimsical holiday carousel — part of ACME Winter Memories — also returns to the City Hall courtyard this year alongside new-for-2019 vendors selling Philly-roasted coffee delicious desserts and more.Meanwhile — on the west side of the building at Dilworth Park — visitors can test their skills on the ice at the Rothman Orthopaedics Ice Rink get cozy with festive food and drink at the Rothman Orthopaedics Cabin and watch the amazing Deck The Hall light show which is projected onto City Hall.Also at Dilworth Park folks can find only-in-Philly gifts from local and regional makers at the Made in Philadelphia Holiday Market or simply take a relaxing stroll through the evergreen-filled Wintergarden.,new-for-2019,1,,0,ferris,1,evergreen,1,1
Planning your next holiday getaway just got a little easier. Frankenmuth Michigan has been named the top U.S. city to get you in the holiday spirit.Located a short 90-minute drive north of Detroit Frankenmuth’s Little Bavaria is an ideal location to find those sought-after holiday vibes according to VacationRenter.com. Frankenmuth highlight’s the area’s German roots and Bavarian-style architecture. It’s also home to Christmas Lane which is lit up with over 100000 lights the Silent Night Memorial Chapel and the world’s largest Christmas store Bronner’s CHRISTmas Wonderland which is open year-round. Bronner’s CHRISTmas Wonderland covers 2.2 acres and houses over 50000 gifts three 17-foot outdoor Santas and a 15-foot snowman.,christmas,1,,0,,0,santas,1,0
My last holiday was in Germany. I’m growed up there so it isn’t quite a common tourist holiday for me.I went by car with my wife and our four kids. It was a really long drive (about 1300 kilometre) so we stayed in a hotel in the middle of the journey.When we arrived we had a really relaxed time with my wife’s family.I t was a great holiday for us because we spend a lot of time with our old friends and our relatives but next time we’ll travel by plane.,last holiday,1,,0,,0,germany,1,0
My last holiday was a five-day trip to Prague in the Czech Republic. I know Prague well because I lived there when I was at university more than ten years ago.Instead of staying in a hotel I stayed with one of my old friends. It was so much fun and a little bit like my old life. I wanted to do all the same things I did in my university days so I visited the university. It has changed a lot and looks more modern. I also went to the supermarket near my old house. I loved seeing all the different foods. I was really happy to find my favourite cheese and chocolate biscuits but they were a bit more expensive than I remember!We did some touristy things too. We walked up beautiful Petrin Hill and around the castle. The views of the city are amazing up there. We walked across the historic Charles Bridge. My friend’s flat is very near the TV Tower so we saw the famous baby statues climbing up it. Those things haven’t changed of course.,things university days,1,,0,,0,Charles Bridge,1,0
Holiday semester break this time anyer my vacation to the beach with my friends. On Thursday me and my friends went to the beach anyer when he got there on his night me and my friends a moment to rest. I played it the next day at the beach anyer swim together enjoying the beautiful beach watching the sunset and photos.On Saturday we hurried home for me this holiday very enjoyable and memorable can gather with friends.,nextday,1,,0,,0,,0,0
There were so many things that we had bought for our family day at the beach like snacks and refreshments and meats and rice and so the list goes on. Now that the day had finally arrived I was ready to spend a wonderful time with my parents at the beach. On Sunday morning my mom and dad had been busy cooking the food in the kitchen while I helped packed the refreshments in a large cooler box with ice.By the time my parents had finished preparing the food they had packed it into a large box with plates and spoons and forks. Then we had started packing everything into our family caravan. Soon in the next hour we were driving through the main road and we were on our way to the beach which is actually my favorite place in the world so far.The sea water was blue and beautiful as it sparkles in the warm sun. There were a few people here and there on the beach. Some were busy playing cricket while a few kids were building sand castles just for fun. There were at least three or six people for the most already bathing in the clear blue sea water. By the time we had gotten out from the caravan I was already excited to go into the water and enjoy a fine sea bath. My mom had seemed to have read my mind so she told me that’s it lunch first and then we all can go into the water.,sunday,1,next hour,1,,0,people beach,1,1
I went to the Kartini beach in Jepara Central Java. I went with my family. I went from my grandparents home in Kudus at 08.00 a.m. by using a car. and we arrived in the beach Kartini at 10:00 a.m . In Kartini beach I swam with my brothers and my sisters. After swam then we play sand. we made a fort houses and hills of sand. after being satisfied playing on the beach then we change clothes and take a break to eat the roast corn and drank coconut water. after sufficient rest we continued to view seascape with boats . I really enjoy the atmosphere in the beach Kartini. after having fun as long five hours finally we returned to home. Before reaching home we rested beforehand and buy a meatball on the side of the road. its very tasty meatballs until I finished two bowl . After that we went home and got home with safely. It was an tired day but I’m very happy because I can have fun with all my family.,,0,08.00 a.m.,1,,0,,0,0
